V_DS	Id(M1)
Step Information: V_GS=0  (Step: 1/41)
3.000000000000000e+00	5.988561e-12
3.200000000000000e+00	6.188549e-12
3.400000000000000e+00	6.388685e-12
3.600000000000000e+00	6.588525e-12
3.800000000000000e+00	6.788661e-12
4.000000000000000e+00	6.988501e-12
4.200000000000000e+00	7.188490e-12
4.400000000000000e+00	7.388330e-12
4.600000000000001e+00	7.588466e-12
4.800000000000001e+00	7.788602e-12
5.000000000000000e+00	7.988442e-12
5.200000000000000e+00	8.188283e-12
5.400000000000000e+00	8.388418e-12
5.600000000000001e+00	8.588555e-12
5.800000000000001e+00	8.788395e-12
6.000000000000000e+00	8.988236e-12
6.200000000000000e+00	9.188667e-12
6.400000000000000e+00	9.388507e-12
6.600000000000001e+00	9.588347e-12
6.800000000000001e+00	9.788484e-12
7.000000000000000e+00	9.988620e-12
7.200000000000000e+00	1.018846e-11
7.400000000000000e+00	1.038830e-11
7.600000000000001e+00	1.058844e-11
7.800000000000001e+00	1.078828e-11
8.000000000000000e+00	1.098841e-11
8.200000000000001e+00	1.118855e-11
8.400000000000000e+00	1.138869e-11
8.600000000000000e+00	1.158823e-11
8.800000000000001e+00	1.178837e-11
9.000000000000000e+00	1.198791e-11
9.200000000000001e+00	1.218805e-11
9.400000000000000e+00	1.238818e-11
9.600000000000001e+00	1.258832e-11
9.800000000000001e+00	1.278845e-11
1.000000000000000e+01	1.298859e-11
Step Information: V_GS=600m  (Step: 4/41)
0.000000000000000e+00	-4.960243e-38
2.000000000000000e-01	1.329716e-11
4.000000000000000e-01	1.350430e-11
6.000000000000001e-01	1.370502e-11
8.000000000000000e-01	1.390516e-11
1.000000000000000e+00	1.410526e-11
1.200000000000000e+00	1.430529e-11
1.400000000000000e+00	1.450527e-11
1.600000000000000e+00	1.470534e-11
1.800000000000000e+00	1.490532e-11
2.000000000000000e+00	1.510531e-11
2.200000000000000e+00	1.530530e-11
2.400000000000000e+00	1.550529e-11
2.600000000000000e+00	1.570513e-11
2.800000000000000e+00	1.590512e-11
3.000000000000000e+00	1.610511e-11
3.200000000000000e+00	1.630509e-11
3.400000000000000e+00	1.650523e-11
3.600000000000000e+00	1.670507e-11
3.800000000000000e+00	1.690521e-11
4.000000000000000e+00	1.710505e-11
4.200000000000000e+00	1.730503e-11
4.400000000000000e+00	1.750487e-11
4.600000000000001e+00	1.770501e-11
4.800000000000001e+00	1.790515e-11
5.000000000000000e+00	1.810499e-11
5.200000000000000e+00	1.830483e-11
5.400000000000000e+00	1.850496e-11
