V_GS,V_DS,I_DS
0.8,8.4,5.736871e-10
0.8,8.6,5.738867e-10
0.8,8.8,5.740868e-10
0.8,9.0,5.742863e-10
0.8,9.200000000000001,5.744865e-10
0.8,9.4,5.746866e-10
0.8,9.600000000000001,5.748867e-10
0.8,9.8,5.750869e-10
0.8,10.0,5.75287e-10
1.0,0.0,-1.527339e-28
1.0,0.2,3.064804e-08
1.0,0.4,3.064825e-08
1.0,0.6000000000000001,3.064845e-08
1.0,0.8,3.064865e-08
1.0,1.0,3.064885e-08
1.0,1.2,3.064905e-08
1.0,1.4,3.064925e-08
1.0,1.6,3.064945e-08
1.0,1.8,3.064965e-08
1.0,2.0,3.064985e-08
1.0,2.2,3.065005e-08
1.0,2.4,3.065025e-08
1.0,2.6,3.065045e-08
1.0,2.8,3.065065e-08
1.0,3.0,3.065085e-08
1.0,3.2,3.065105e-08
1.0,3.4,3.065125e-08
1.0,3.6,3.065145e-08
1.0,3.8,3.065165e-08
1.0,4.0,3.065185e-08
1.0,4.2,3.065205e-08
1.0,4.4,3.065225e-08
1.0,4.600000000000001,3.065245e-08
1.0,4.800000000000001,3.065265e-08
1.0,5.0,3.065285e-08
1.0,5.2,3.065305e-08
1.0,5.4,3.065325e-08
1.0,5.600000000000001,3.065345e-08
1.0,5.800000000000001,3.065365e-08
1.0,6.0,3.065385e-08
1.0,6.2,3.065405e-08
1.0,6.4,3.065425e-08
1.0,6.600000000000001,3.065445e-08
1.0,6.800000000000001,3.065465e-08
1.0,7.0,3.065485e-08
1.0,7.2,3.065505e-08
1.0,7.4,3.065525e-08
1.0,7.600000000000001,3.065545e-08
1.0,7.800000000000001,3.065565e-08
1.0,8.0,3.065585e-08
1.0,8.200000000000001,3.065605e-08
1.0,8.4,3.065625e-08
1.0,8.6,3.065645e-08
1.0,8.8,3.065665e-08
1.0,9.0,3.065685e-08
1.0,9.200000000000001,3.065705e-08
1.0,9.4,3.065725e-08
1.0,9.600000000000001,3.065745e-08
1.0,9.8,3.065765e-08
1.0,10.0,3.065785e-08
1.2,0.0,-1.527339e-28
1.2,0.2,1.647006e-06
1.2,0.4,1.647006e-06
1.2,0.6000000000000001,1.647006e-06
1.2,0.8,1.647006e-06
1.2,1.0,1.647006e-06
1.2,1.2,1.647007e-06
1.2,1.4,1.647007e-06
1.2,1.6,1.647007e-06
1.2,1.8,1.647007e-06
1.2,2.0,1.647007e-06
1.2,2.2,1.647008e-06
1.2,2.4,1.647008e-06
1.2,2.6,1.647008e-06
1.2,2.8,1.647008e-06
1.2,3.0,1.647008e-06
1.2,3.2,1.647009e-06
1.2,3.4,1.647009e-06
1.2,3.6,1.647009e-06
1.2,3.8,1.647009e-06
1.2,4.0,1.647009e-06
1.2,4.2,1.64701e-06
1.2,4.4,1.64701e-06
1.2,4.600000000000001,1.64701e-06
1.2,4.800000000000001,1.64701e-06
1.2,5.0,1.64701e-06
1.2,5.2,1.647011e-06
1.2,5.4,1.647011e-06
1.2,5.600000000000001,1.647011e-06
1.2,5.800000000000001,1.647011e-06
1.2,6.0,1.647011e-06
1.2,6.2,1.647012e-06
1.2,6.4,1.647012e-06
1.2,6.600000000000001,1.647012e-06
1.2,6.800000000000001,1.647012e-06
1.2,7.0,1.647012e-06
1.2,7.2,1.647013e-06
1.2,7.4,1.647013e-06
1.2,7.600000000000001,1.647013e-06
1.2,7.800000000000001,1.647013e-06
1.2,8.0,1.647013e-06
1.2,8.200000000000001,1.647014e-06
1.2,8.4,1.647014e-06
1.2,8.6,1.647014e-06
1.2,8.8,1.647014e-06
1.2,9.0,1.647014e-06
1.2,9.200000000000001,1.647015e-06
1.2,9.4,1.647015e-06
1.2,9.600000000000001,1.647015e-06
1.2,9.8,1.647015e-06
1.2,10.0,1.647015e-06
1.4,0.0,-1.527339e-28
1.4,0.2,8.033511e-05
1.4,0.4,8.033511e-05
1.4,0.6000000000000001,8.033511e-05
1.4,0.8,8.033511e-05
1.4,1.0,8.033511e-05
1.4,1.2,8.033511e-05
1.4,1.4,8.033511e-05
1.4,1.6,8.033511e-05
1.4,1.8,8.033511e-05
1.4,2.0,8.033511e-05
1.4,2.2,8.033511e-05
1.4,2.4,8.033511e-05
1.4,2.6,8.033511e-05
1.4,2.8,8.033511e-05
1.4,3.0,8.033511e-05
1.4,3.2,8.033511e-05
1.4,3.4,8.033511e-05
1.4,3.6,8.033511e-05
1.4,3.8,8.033511e-05
1.4,4.0,8.033511e-05
1.4,4.2,8.033511e-05
1.4,4.4,8.033511e-05
1.4,4.600000000000001,8.033511e-05
1.4,4.800000000000001,8.033511e-05
1.4,5.0,8.033511e-05
1.4,5.2,8.033511e-05
1.4,5.4,8.033511e-05
1.4,5.600000000000001,8.033511e-05
1.4,5.800000000000001,8.033511e-05
1.4,6.0,8.033511e-05
1.4,6.2,8.033511e-05
1.4,6.4,8.033511e-05
1.4,6.600000000000001,8.033511e-05
1.4,6.800000000000001,8.033511e-05
1.4,7.0,8.033511e-05
1.4,7.2,8.033511e-05
1.4,7.4,8.033511e-05
1.4,7.600000000000001,8.033511e-05
1.4,7.800000000000001,8.033511e-05
1.4,8.0,8.033511e-05
1.4,8.200000000000001,8.033511e-05
1.4,8.4,8.033511e-05
1.4,8.6,8.033511e-05
1.4,8.8,8.033511e-05
1.4,9.0,8.033511e-05
1.4,9.200000000000001,8.033511e-05
1.4,9.4,8.033511e-05
1.4,9.600000000000001,8.033511e-05
1.4,9.8,8.033511e-05
1.4,10.0,8.033511e-05
1.6,0.0,-1.527339e-28
1.6,0.2,0.002264474
1.6,0.4,0.002264474
1.6,0.6000000000000001,0.002264474
1.6,0.8,0.002264474
1.6,1.0,0.002264474
1.6,1.2,0.002264474
1.6,1.4,0.002264474
1.6,1.6,0.002264474
1.6,1.8,0.002264474
1.6,2.0,0.002264474
1.6,2.2,0.002264474
1.6,2.4,0.002264474
1.6,2.6,0.002264474
1.6,2.8,0.002264474
1.6,3.0,0.002264474
1.6,3.2,0.002264474
1.6,3.4,0.002264474
1.6,3.6,0.002264474
1.6,3.8,0.002264474
1.6,4.0,0.002264474
1.6,4.2,0.002264474
1.6,4.4,0.002264474
1.6,4.600000000000001,0.002264474
1.6,4.800000000000001,0.002264474
1.6,5.0,0.002264474
1.6,5.2,0.002264474
1.6,5.4,0.002264474
1.6,5.600000000000001,0.002264474
1.6,5.800000000000001,0.002264474
1.6,6.0,0.002264474
1.6,6.2,0.002264474
1.6,6.4,0.002264474
1.6,6.600000000000001,0.002264474
1.6,6.800000000000001,0.002264474
1.6,7.0,0.002264474
1.6,7.2,0.002264474
1.6,7.4,0.002264474
1.6,7.600000000000001,0.002264474
1.6,7.800000000000001,0.002264474
1.6,8.0,0.002264474
1.6,8.200000000000001,0.002264474
1.6,8.4,0.002264474
1.6,8.6,0.002264474
1.6,8.8,0.002264474
1.6,9.0,0.002264474
1.6,9.200000000000001,0.002264474
1.6,9.4,0.002264474
1.6,9.600000000000001,0.002264474
1.6,9.8,0.002264474
